,Hidrocarburos líquidos (produccion),Petróleo crudo (produccion),Condensados y líquidos del gas (produccion),Gas natural  (MMpcd) (produccion),Petrolíferos y gas licuado (1) (produccion),Petroquímicos (Mt) (2) (produccion),Naftas (Mt) (produccion),Proceso de crudo (produccion),Petrolíferos y gas licuado (volumen-ventas int),Gas licuado (3) (volumen-ventas int),Gasolinas automotrices (volumen-ventas int),Pemex Magna (volumen-ventas int),Pemex Premium (volumen-ventas int),Turbosina (volumen-ventas int),Diesel (volumen-ventas int),Combustóleo (volumen-ventas int),Otros (4) (volumen-ventas int),Gas natural (Mmpcd) (volumen-ventas int),Petroquímicos (Mt) (volumen-ventas int),Complejos Petroquímicos (5) (volumen-ventas int),Sistema Nacional de Refinación (volumen-ventas int),Complejos Procesadores de Gas (6) (volumen-ventas int),Petrolíferos y gas licuado (MM$),Gas licuado (3) (MM$),Gasolinas automotrices (MM$),Pemex Magna (MM$),Pemex Premium (MM$),Turbosina (MM$),Diesel (MM$),Combustóleo  (MM$),Otros (4)  (MM$),Gas natural  (MM$),Petroquímicos  (MM$),Complejos Petroquímicos (5)  (MM$),Sistema Nacional de Refinación  (MM$),Complejos Procesadores de Gas (6)  (MM$),Exportación neta de hidrocarburos líquidos (volumen),Exportación de petróleo crudo (volumen),Exportaciones Petrolíferos y gas licuado (volumen),Importaciones Petrolíferos y gas licuado (volumen),Exportación neta de gas natural (MMpcd) (volumen),Importaciones Petroquímicos (Mt) (volumen),Exportación de petróleo crudo (MMUS$),Exportaciones Petrolíferos y gas licuado (MMUS$),Importaciones Petrolíferos y gas licuado (MMUS$),Exportación neta de gas natural (Mmpcd) (MMUS$),Importaciones Petroquímicos (Mt) (MMUS$),Petróleo crudo (8) (US$/b),Maya US$/b,Combustóleo (alto azufre) (US$/b),Gas Licuado (US$/b),Gasolinas (US$/b),Gas natural (US$/MMBtu)
Hidrocarburos líquidos (produccion),0.0,1.0,0.10105063688373019,0.38920065197245124,0.015072869172308722,0.055650329534489326,0.061908731249876156,0.009690368635469378,0.026229529356615114,1.0,0.019615378239725943,0.012679316391708644,1.0,0.011377537204046898,0.011517665109396483,0.0639792403346024,0.5291617786354996,0.22105412143345488,0.020033008688479705,0.02116624813924677,0.12067456629789008,0.047077054618779146,0.005299622060805832,0.012185545615849756,0.006149545513250299,0.00829309851390481,0.09406748792615664,0.01105950749930863,0.010265307940634691,0.02542072232982256,0.04914284790857986,0.023759092816875063,0.0078094661768968445,0.00796312173094793,0.030527292624411166,0.03821494291646581,0.2183579593782355,0.09063145227547732,0.02006076659224928,0.04163390859609653,0.3308869327890262,0.07931859657479381,0.4389943188056408,0.018142086189250103,0.05867689506924523,0.0438624354747843,0.23796690202653537,0.007326155090162371,0.009337996800562577,0.014115154841447805,0.010575916805926936,0.019094916219810406,0.03229933928082107
Petróleo crudo (produccion),1.0,0.0,0.04795702665569214,0.2979921651776824,0.018226134885911054,0.06062227470150806,0.04517477413712753,0.017462986542688175,0.010510343965301368,0.5223008920046713,0.013077944112220165,0.011052934640714765,0.3935831470139513,0.019536668208558632,0.013966639569251028,0.036674795043407954,0.5012410258580576,0.11658196583167649,0.01661513995337819,0.015512839816164966,0.14004311964564892,0.04115626735294136,0.01387903895416418,0.02534333263347991,0.014885862314071288,0.013083419578634684,0.08402983997347653,0.014174612081151122,0.02519023601120206,0.02048589111014262,0.06832271853789203,0.024261583590633337,0.006662466698777109,0.005571219465574124,0.039883427262865694,0.033870265331478286,0.2340289815581582,0.10412415120307948,0.02652509819844949,0.031115410405543213,0.3363362645971332,0.06346093948051386,0.6965107543404307,0.050337153474252105,0.13373692192711542,0.04103715241203283,0.29057855358834356,0.05145584737551969,0.04691101935225734,0.025943044336783547,0.03194802215998024,0.1147680426183678,0.022211731788138865
Condensados y líquidos del gas (produccion),0.1549044948135425,0.0518584747005361,0.0,0.32496767812415683,0.10170631680538221,0.6257564420486198,1.0,0.17040512409145891,0.04953959936112643,0.13555443232039735,0.043583904824804065,0.09348629294674961,0.20005946059617047,0.05152435802876079,0.01135856733926448,0.09813955692880902,0.40549820292708233,0.6502587520310129,0.11879099061263934,0.04837510784095619,0.25202876753715636,0.9749086321133901,0.004410513199546428,0.043847628660183366,0.006083245975459475,0.0070102189749937874,1.0,0.06795378338333494,0.0062433913505191025,0.060475606401863044,0.06831440726255746,0.01848939783073744,0.016586411360298765,0.02802574767547221,0.021917720036602435,0.037603029011765966,0.12702553741192185,0.2534450563762362,0.11841010095691752,0.14105870382969596,0.3276906810656621,0.23917108609023705,0.08202841260109614,0.403999715647745,0.02102176169375935,0.0434455801558915,0.07607177128457325,0.04283716269879574,0.03719331718676153,0.0433448110127845,0.07629209115889755,0.08591498713052888,0.03222729219957754
Gas natural  (MMpcd) (produccion),0.1661854329754116,0.10741729983079923,0.05137575239490135,0.0,0.018156505418568957,0.026494231950507652,0.06758834931288858,0.010466466029097682,0.008087378083465588,0.12591951680376096,0.0068771478567576354,0.006239991341693838,0.2596315848934877,0.01879215638690778,0.014456466923806649,0.031233477120306042,0.5411158673578486,0.02096212992524817,0.019257607201159887,0.027967440907638412,0.09270194008164515,0.05216130188315867,0.005043861708719941,0.035606320103940194,0.006698151718958179,0.006736994742018107,0.14009605980538256,0.0099687947154776,0.005077225043433379,0.013494082586058592,0.04896360648091143,0.016701403933617496,0.00869350613065526,0.013441581230542244,0.15504364278499203,0.17125293522330787,0.2240640226266615,0.15876871195996978,0.03643509898290555,0.03833788590601334,0.15532336717875178,0.2988066077579347,0.10171428820014596,0.058823118310363035,0.02439951881702487,0.03460234228292856,0.24987391183687144,0.00642243715962562,0.0074086952595284255,0.03552159634024927,0.04193183187732622,0.015947529877285198,0.02789052564786464
Petrolíferos y gas licuado (1) (produccion),0.014092882803276191,0.01770209578854837,0.0724442049621961,0.05499034492940863,0.0,0.046363962328608246,0.09498268351364285,1.0,0.005701239368253193,0.14089599996479746,0.010052068072754463,0.012715304576810606,0.07407851047099406,0.05343589301431293,0.010049578782988209,0.03094917701377769,0.38169338039600526,0.026247853675377943,0.00921227356554434,0.008486194325597768,0.11140371715826203,0.05722616202628661,0.006296323895936333,0.0223972190391309,0.009556591124554065,0.004447799162374077,0.4997784590876941,0.037619394184080814,0.0069307171194635,0.02620984243307044,0.14541147810580543,0.017306286171432643,0.0054981190168689915,0.009935745865884256,0.03406961423327021,0.030415842291007845,0.13028961367031472,0.5818168086475392,0.5473234910731312,0.06908045554804472,0.06705278600193058,0.11805372549665823,0.08613266453860466,0.6767329629016312,0.011576322752784952,0.025755289456403423,0.0788570649009509,0.011384855773354232,0.009195799873912155,0.030664742499583245,0.025985905681306716,0.07978386696550518,0.030720291755683634
Petroquímicos (Mt) (2) (produccion),0.010086402144733546,0.009617716555379982,0.31757915870023207,0.0205585234941403,0.02363488796726369,0.0,0.18893220109587414,0.02171311515745432,0.010209686742151081,0.14912981411148052,0.026218262001409327,0.05117517769762796,0.5549259148488017,0.011971224555591306,0.012769288194599021,0.05203994610076547,0.16578920702010488,0.18927372273402956,0.336924986878179,0.17451479742087472,0.9731629602835711,1.0,0.0035115179826807614,0.015528035632326445,0.005187656840996762,0.005874327259892617,0.14051665068203942,0.03283335514315331,0.006957515030062481,0.08460355064034422,0.06345752497547455,0.01730766113579479,0.06399343898721023,0.07623609928011463,0.048975336094061545,0.018770610601182368,0.08614718908280457,0.07304364636436467,0.07151343975946561,0.08345787354636018,0.10187186849797808,0.16044999002735108,0.043613595164367795,0.04124375474045669,0.01114719609450809,0.02761754587763971,0.11338995342400197,0.006304712951119284,0.0072186123441748936,0.0121251561204062,0.021091645686907686,0.01146505734313987,0.02927934972166209
Naftas (Mt) (produccion),0.08799168503406879,0.03709963466273938,1.0,0.17631846927690298,0.05623931331006019,0.2777552003868785,0.0,0.07493020802390052,0.008514275887974283,0.2826136336003484,0.016355914178996796,0.04448969290304965,0.14397788368339084,0.03732120196615859,0.01491463737052454,0.03994592866761565,0.17569270102982695,0.28591858079240895,0.04259774903127773,0.029748558428853544,0.15135205185285502,0.8169204403397026,0.00304872200442262,0.058957680312520064,0.004703295035767725,0.006486094222796938,0.4964585063716004,0.03496071659243567,0.004790009491313878,0.0369907274318003,0.07667128167467786,0.023536790962892216,0.005112165563450423,0.0077153680790139735,0.018949102888746048,0.025246222083102503,0.08406874662761357,0.21814878102875684,0.05548526995724356,0.04902258404619723,0.06271808501749557,0.17319224827484894,0.05932237178466965,0.1142902828075046,0.014362395783285868,0.03316913696454381,0.047207465180647876,0.02366621165448262,0.02005867928408603,0.036443499261228335,0.06177991392305176,0.021851078709666082,0.05140224282366146
Proceso de crudo (produccion),0.010708901593116042,0.024586283686478416,0.18523663321936254,0.05555749608690037,1.0,0.055993911204613306,0.19064820694859966,0.0,0.005572099553427836,0.11737038370108156,0.011849164007248975,0.017408336877547496,0.08397542859917427,0.05773266338313528,0.009956105295523604,0.03258673743345652,0.4039255043917183,0.036999728615202246,0.012275459618033953,0.010354205642327413,0.12103403394777143,0.07955855003623544,0.004744763836214941,0.025152226918261526,0.006436246629552881,0.0039004955895858336,0.8886680908306093,0.09145373113311342,0.005994976729789139,0.02358522788967089,0.13486304634032845,0.018996764760904124,0.004824499471889882,0.008065261957451305,0.029067268473576935,0.027251603705299617,0.12134710512760041,0.5228230063961955,0.5440513889313379,0.07111140349719242,0.12406766269939068,0.15486518465266055,0.06484804732346436,0.8804634906661865,0.00923485930036137,0.03258179248079795,0.11592971046241286,0.02322233376702186,0.012593078360461538,0.026276904427769796,0.04141228925865009,0.13143086562359305,0.045516695904100936
Petrolíferos y gas licuado (volumen-ventas int),0.09192767106735666,0.031794739035923406,0.0620525205319939,0.047689259323809755,0.0069233256382982234,0.05532579148333848,0.018449984510809488,0.007015666680034025,0.0,0.2721953447722161,0.7954152539071467,0.618686589106287,0.17178279742885028,0.3881396114619497,1.0,0.21237543884937962,0.15033190554583237,0.3057107463099517,0.03995371257077037,0.02345787501977366,0.12271831986749854,0.07417354849177508,0.05874512432463933,0.013733135936854017,0.057080496842858715,0.06373724544281133,0.10676805515954983,0.13882804449335703,0.20045834366318763,0.6029357852830706,0.31750756177789496,0.07493221829239707,0.009829602484596838,0.010263299721505333,0.05205652094227247,0.03309774834797814,0.9564205691059745,0.15841330864423678,0.02601953512327549,0.5917791320585617,0.1916105557167801,0.0755628614734985,0.07542244058143986,0.02034360791351376,0.28455621395185093,0.09641913395058244,0.03075244255066389,0.017703915503527044,0.015578351515115128,0.018980220547219245,0.021455519918503495,0.04917990148963931,0.0920856986410154
Gas licuado (3) (volumen-ventas int),0.021982481739914204,0.033413198226604685,0.015149119601707124,0.045341434319388155,0.012855746258671261,0.038867042524084676,0.03331625204815395,0.013084039408785754,0.015264006236077028,0.0,0.01581676236683666,0.004762902161081912,0.14058405184265288,0.0428446562907807,0.013072424509514211,0.07651954807133947,0.09243214953873137,0.02177163155012474,0.016963193735369045,0.02789223976724121,0.08589357527072833,0.03087957248189237,0.00666470575327541,0.07280272545081116,0.011720543141050671,0.009156874260308295,0.07919858095781335,0.026139334788137514,0.008272984441360388,0.039208282999733765,0.06306428158066837,0.014932048439126188,0.009436243956112726,0.012460744548845217,0.027500963979860394,0.0336439589947743,0.10930120667652463,0.07954562619350339,0.02113838216695725,0.042321463834685734,0.040329834910349416,0.21648053434960912,0.11123249967058828,0.02616064670053727,0.023537748615171415,0.018962174650738052,0.1878496159537692,0.011851227389910944,0.010278870982852347,0.01568259000299472,0.024328501535984273,0.02040510657226133,0.02750364278194383
