target,r2_mean,r2_std,rmse_mean,rmse_std,n_oob_mean
Hidrocarburos líquidos (produccion),0.925967676592674,0.026737451707224493,0.26088008778639804,0.03050640371879383,90.0
Petróleo crudo (produccion),0.8988046803980756,0.027260703055748455,0.3112391421469297,0.030408453875485863,90.0
Condensados y líquidos del gas (produccion),0.9421623178332078,0.017990566955123643,0.23242933009531838,0.028226429332327257,90.0
Gas natural  (MMpcd) (produccion),0.8682678616969854,0.04160247346298955,0.35261921515354405,0.05767370649902937,90.0
Petrolíferos y gas licuado (1) (produccion),0.8917130189264735,0.021971769967053214,0.3226906255043838,0.026037469676107792,90.0
Petroquímicos (Mt) (2) (produccion),0.8578350299223172,0.027945631062034324,0.3637480282083887,0.031685283879247725,90.0
Naftas (Mt) (produccion),0.9012071420848972,0.024395360739618885,0.30061904644599036,0.03110215377003814,90.0
Proceso de crudo (produccion),0.9121878982285926,0.022218469451449476,0.2846691890123815,0.025390647747047242,90.0
Petrolíferos y gas licuado (volumen-ventas int),0.9744540094112555,0.008201512843379825,0.15565288390136034,0.017302083450185496,90.0
Gas licuado (3) (volumen-ventas int),0.7606247289761922,0.04501088757485235,0.48074695523176597,0.03416633155968537,90.0
Gasolinas automotrices (volumen-ventas int),0.9558157225657599,0.018200071301502273,0.20157789569164455,0.026925359457781406,90.0
Pemex Magna (volumen-ventas int),0.9753161285592625,0.00677548395831381,0.15068007257913132,0.014770070544037976,90.0
Pemex Premium (volumen-ventas int),0.7841352347239322,0.07570492675201837,0.4451639707329101,0.06126982720120253,90.0
Turbosina (volumen-ventas int),0.9569072280468933,0.015479154182311428,0.2025522414904434,0.021567612858823405,90.0
Diesel (volumen-ventas int),0.954664211148279,0.008614327473970519,0.20733464875836735,0.019758035829608604,90.0
Combustóleo (volumen-ventas int),0.812320413336814,0.052850184903676815,0.430727724065172,0.039350808573441025,90.0
Otros (4) (volumen-ventas int),0.7442129941875835,0.09162264099531227,0.48532207124610277,0.05767962612388997,90.0
Gas natural (Mmpcd) (volumen-ventas int),0.9416926989633018,0.020271650300509512,0.23253179716888456,0.026702099651216483,90.0
Petroquímicos (Mt) (volumen-ventas int),0.9472218110519599,0.016704733165332133,0.21873992744632922,0.018610433278520792,90.0
Complejos Petroquímicos (5) (volumen-ventas int),0.9116272167098366,0.02146928051929224,0.28573646385991336,0.025352982184578255,90.0
Sistema Nacional de Refinación (volumen-ventas int),0.7819520479593394,0.05937568600049724,0.4532888329095235,0.05598099242665902,90.0
Complejos Procesadores de Gas (6) (volumen-ventas int),0.9096640914433176,0.01762037101390744,0.3003245690743438,0.02342821635831271,90.0
